chapter,source_unit,lane,headword,kind,SPACED_now,RETR_now,ENC_now,is_orphan,new_hits_from_plan
A1-0,A1-0,S,hoja de papel,sustantivos,0,0,0,1,3
A1-0,A1-0,S,deletrear,verbos,1,1,2,0,2
A1-0,A1-0,S,alto,adjetivos,2,1,2,0,2
A1-0,A1-0,S,entender,verbos,2,2,2,0,3
A1-0,A1-0,S,papelera,sustantivos,2,2,2,0,3
A1-0,A1-0,S,proyector,sustantivos,2,2,2,0,3
A1-0,A1-0,S,tableta,sustantivos,2,2,2,0,3
A1-0,A1-0,S,aula,sustantivos,2,2,3,0,3
A1-0,A1-0,S,repetir,verbos,2,2,3,0,3
A1-0,A1-0,S,estuche,sustantivos,2,2,4,0,3
A1-0,A1-0,S,ordenador,sustantivos,2,2,4,0,3
A1-0,A1-0,S,silla,sustantivos,3,2,5,0,2
A1-0,A1-0,S,despacio,adjetivos,3,3,4,0,2
A1-0,A1-0,S,bolígrafo,sustantivos,3,3,5,0,1
A1-0,A1-0,S,cuaderno,sustantivos,3,3,5,0,1
A1-0,A1-0,S,mochila,sustantivos,3,3,5,0,1
A1-1,A1-0,L,hoja de papel,sustantivos,0,0,0,1,3
A1-1,A1-0,L,entender,verbos,2,2,2,0,3
A1-1,A1-0,L,papelera,sustantivos,2,2,2,0,3
A1-1,A1-0,L,proyector,sustantivos,2,2,2,0,3
A1-1,A1-0,L,tableta,sustantivos,2,2,2,0,3
A1-1,A1-0,L,aula,sustantivos,2,2,3,0,3
A1-1,A1-0,L,repetir,verbos,2,2,3,0,3
A1-1,A1-0,L,estuche,sustantivos,2,2,4,0,3
A1-1,A1-0,L,ordenador,sustantivos,2,2,4,0,3
A1-1,A1-0,L,silla,sustantivos,3,2,5,0,2
A1-1,A1-0,L,ventana,sustantivos,4,2,5,0,2
A1-1,A1-0,L,decir,verbos,10,2,10,0,2
A1-1,A1-0,L,despacio,adjetivos,3,3,4,0,2
A1-1,A1-0,L,pronunciar,verbos,4,3,4,0,1
A1-1,A1-0,L,bolígrafo,sustantivos,3,3,5,0,1
A1-1,A1-0,L,cuaderno,sustantivos,3,3,5,0,1
A1-2,A1-1,L,correo electrónico,sustantivos,0,0,0,1,4
A1-2,A1-1,L,número de teléfono,sustantivos,0,0,0,1,4
A1-2,A1-1,L,suizo,adjetivos,0,0,0,1,3
A1-2,A1-1,L,venezolano,adjetivos,0,0,0,1,3
A1-2,A1-1,L,canadiense,adjetivos,0,0,1,1,3
A1-2,A1-1,L,nombre,sustantivos,0,0,1,1,1
A1-2,A1-1,L,agencia,sustantivos,0,0,2,1,1
A1-2,A1-1,L,empresa,sustantivos,2,2,2,0,2
A1-2,A1-1,L,profesión,sustantivos,2,2,2,0,2
A1-2,A1-1,L,hospital,sustantivos,3,2,3,0,2
A1-2,A1-1,L,enfermero,sustantivos,2,2,4,0,2
A1-2,A1-1,L,taller,sustantivos,4,2,4,0,2
A1-2,A1-0,L,entender,verbos,2,2,2,0,3
A1-2,A1-0,L,papelera,sustantivos,2,2,2,0,3
A1-2,A1-0,L,proyector,sustantivos,2,2,2,0,3
A1-2,A1-0,L,tableta,sustantivos,2,2,2,0,3
A1-3,A1-2,L,hispano,adjetivos,0,0,0,1,2
A1-3,A1-2,L,página web,sustantivos,0,0,0,1,2
A1-3,A1-2,L,vida nocturna,sustantivos,0,0,0,1,2
A1-3,A1-2,L,chatear,verbos,2,2,2,0,2
A1-3,A1-2,L,diccionario,sustantivos,2,2,2,0,2
A1-3,A1-2,L,jugar,verbos,2,2,2,0,2
A1-3,A1-2,L,naturaleza,sustantivos,2,2,2,0,2
A1-3,A1-2,L,historia,sustantivos,2,2,3,0,2
A1-3,A1-1,L,empresa,sustantivos,2,2,2,0,2
A1-3,A1-1,L,profesión,sustantivos,2,2,2,0,2
A1-3,A1-1,L,edad,sustantivos,3,3,3,0,1
A1-3,A1-1,L,hospital,sustantivos,3,2,3,0,2
A1-3,A1-0,L,aula,sustantivos,2,2,3,0,3
A1-3,A1-0,L,repetir,verbos,2,2,3,0,3
A1-3,A1-0,L,estuche,sustantivos,2,2,4,0,3
A1-3,A1-0,L,ordenador,sustantivos,2,2,4,0,3
A1-4,A1-0,T,mochila,sustantivos,3,3,5,0,1
A1-4,A1-0,T,silla,sustantivos,3,2,5,0,2
A1-4,A1-0,T,ventana,sustantivos,4,2,5,0,2
A1-4,A1-0,T,decir,verbos,10,2,10,0,2
A1-4,A1-0,T,hoja de papel,sustantivos,0,0,0,1,3
A1-4,A1-0,T,alto,adjetivos,2,1,2,0,2
A1-4,A1-0,T,deletrear,verbos,1,1,2,0,2
A1-4,A1-0,T,entender,verbos,2,2,2,0,3
A1-4,A1-0,T,papelera,sustantivos,2,2,2,0,3
A1-4,A1-0,T,proyector,sustantivos,2,2,2,0,3
A1-4,A1-0,T,tableta,sustantivos,2,2,2,0,3
A1-4,A1-0,T,aula,sustantivos,2,2,3,0,3
A1-4,A1-0,T,repetir,verbos,2,2,3,0,3
A1-4,A1-0,T,despacio,adjetivos,3,3,4,0,2
A1-4,A1-0,T,estuche,sustantivos,2,2,4,0,3
A1-4,A1-0,T,ordenador,sustantivos,2,2,4,0,3
A1-5,A1-1,T,enfermero,sustantivos,2,2,4,0,2
A1-5,A1-1,T,taller,sustantivos,4,2,4,0,2
A1-5,A1-1,T,alemán,adjetivos,3,3,5,0,1
A1-5,A1-1,T,comercial,sustantivos,4,3,5,0,1
A1-5,A1-1,T,supermercado,sustantivos,5,3,5,0,1
A1-5,A1-1,T,italiano,adjetivos,5,3,7,0,1
A1-5,A1-1,T,argentino,adjetivos,7,3,9,0,1
A1-5,A1-1,T,correo electrónico,sustantivos,0,0,0,1,4
A1-5,A1-1,T,número de teléfono,sustantivos,0,0,0,1,4
A1-5,A1-1,T,suizo,adjetivos,0,0,0,1,3
A1-5,A1-1,T,venezolano,adjetivos,0,0,0,1,3
A1-5,A1-1,T,belga,adjetivos,1,1,1,0,2
A1-5,A1-1,T,brasileño,adjetivos,1,1,1,0,2
A1-5,A1-1,T,canadiense,adjetivos,0,0,1,1,3
A1-5,A1-1,T,chileno,adjetivos,1,1,1,0,2
A1-5,A1-1,T,colombiano,adjetivos,1,1,1,0,2
A1-6,A1-2,T,mensaje,sustantivos,2,2,3,0,2
A1-6,A1-2,T,revista,sustantivos,2,2,3,0,2
A1-6,A1-2,T,videojuego,sustantivos,3,2,3,0,2
A1-6,A1-2,T,nativo,adjetivos,3,2,4,0,2
A1-6,A1-2,T,radio,sustantivos,3,2,4,0,2
A1-6,A1-2,T,chatear,verbos,2,2,2,0,2
A1-6,A1-2,T,diccionario,sustantivos,2,2,2,0,2
A1-6,A1-2,T,jugar,verbos,2,2,2,0,2
A1-6,A1-2,T,naturaleza,sustantivos,2,2,2,0,2
A1-6,A1-2,T,historia,sustantivos,2,2,3,0,2
A1-6,A1-2,T,pasar,verbos,4,3,4,0,1
A1-6,A1-2,T,pronunciación,sustantivos,3,3,4,0,1
A1-6,A1-2,T,canción,sustantivos,3,3,5,0,1
A1-6,A1-2,T,difícil,adjetivos,4,3,5,0,1
A1-6,A1-2,T,escuchar,verbos,3,3,5,0,1
A1-6,A1-2,T,teatro,sustantivos,4,3,5,0,1
A1-7,A1-3,R,cálido,adjetivos,0,0,0,1,1
A1-7,A1-3,R,nevado,adjetivos,0,0,0,1,1
A1-7,A1-3,R,noreste,sustantivos,0,0,0,1,1
A1-7,A1-3,R,sureste,sustantivos,0,0,0,1,1
A1-7,A1-3,R,suroeste,sustantivos,0,0,0,1,1
A1-7,A1-3,R,tropical,adjetivos,0,0,0,1,1
A1-7,A1-3,R,árido,adjetivos,0,0,0,1,1
A1-7,A1-3,R,húmedo,adjetivos,0,0,1,1,1
A1-7,A1-3,R,nevar,verbos,0,0,1,1,1
A1-7,A1-3,R,noroeste,sustantivos,0,0,1,1,1
A1-7,A1-3,R,poblado,adjetivos,0,0,1,1,1
A1-7,A1-3,R,templado,adjetivos,0,0,1,1,1
A1-7,A1-3,T,bosque,sustantivos,2,2,2,0,1
A1-7,A1-3,T,océano,sustantivos,2,2,2,0,1
A1-7,A1-3,T,estación,sustantivos,3,2,3,0,1
A1-7,A1-3,T,lengua,sustantivos,2,2,3,0,1
A1-8,A1-4,R,amarillo,adjetivos,0,0,0,1,1
A1-8,A1-4,R,carné de conducir,sustantivos,0,0,0,1,1
A1-8,A1-4,R,carné de identidad,sustantivos,0,0,0,1,1
A1-8,A1-4,R,centro comercial,sustantivos,0,0,0,1,1
A1-8,A1-4,R,cepillo de dientes,sustantivos,0,0,0,1,1
A1-8,A1-4,R,clásico,adjetivos,0,0,0,1,1
A1-8,A1-4,R,crema solar,sustantivos,0,0,0,1,1
A1-8,A1-4,R,estampado,adjetivos,0,0,0,1,1
A1-8,A1-4,R,feo,adjetivos,0,0,0,1,1
A1-8,A1-4,R,gafas de sol,sustantivos,0,0,0,1,1
A1-8,A1-4,R,gel de baño,sustantivos,0,0,0,1,1
A1-8,A1-4,R,lila,adjetivos,0,0,0,1,1
A1-8,A1-4,T,bufanda,sustantivos,2,2,2,0,1
A1-8,A1-4,T,bolso,sustantivos,3,2,3,0,1
A1-8,A1-0,T,hoja de papel,sustantivos,0,0,0,1,3
A1-8,A1-0,T,alto,adjetivos,2,1,2,0,2
A1-9,A1-5,T,cantante,sustantivos,2,2,2,0,2
A1-9,A1-5,T,cantar,verbos,2,2,2,0,2
A1-9,A1-5,T,pareja,sustantivos,2,2,2,0,2
A1-9,A1-5,T,grupo,sustantivos,2,2,3,0,2
A1-9,A1-5,T,favorito,adjetivos,3,2,4,0,2
A1-9,A1-5,T,sobrino,sustantivos,2,2,4,0,2
A1-9,A1-5,T,abierto,adjetivos,6,2,6,0,2
A1-9,A1-5,T,tímido,adjetivos,4,2,6,0,2
A1-9,A1-1,T,correo electrónico,sustantivos,0,0,0,1,4
